Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
LAAN_14F1207_0194_5252020_14,c22.5n6,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.5n3,0.1339,45.514,0,Target,79,19284,3399,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c22.6n3,0.1059,46.027,0,Target,79,15884,2678,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c24.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c24.1n9,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c8:0,0.0092,6.194,0,Target,74,4110,1392,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c9:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c10:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c11:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c11:1,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c12:0,0.0637,10.593,0,Target,74,25837,15740,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c13.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16:1n1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18:4n1,0.8381,28.758,0,Target,79,156005,33802,ng/ul,bsides,2021-04-28,
