,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
DEME_13F1241_0083_3102020_22.qgd,"7,736",-0.35,"3,426,442",9.32,"16,526",0.14,"91,566",0.19,"8,039,182",24.45,"263,429",2.09,"10,817",0.07,"165,502",1.09,"38,729",0.15,"46,557",0.27,-----,-----,-----,-----,"90,888",0.53,"578,564",1.93,"2,169,252",17.76,"30,144",0.32,"29,315",0.2,"1,638,673",10.98,"98,108",1.02,"10,774,249",29.51,"2,875,329",16.98,"4,187,476",24.56,,,"591,515",2.03,"4,513,621",31.72,"609,042",4.05,"6,290,983",42.17,"14,028",0.15,"1,665",0.4,"5,401",0.68
DEME_14F1300_0084_3102020_12.qgd,"15,408",-0.33,"5,155,139",14.14,"27,538",0.21,"137,672",0.33,"12,290,528",37.5,"356,091",2.81,"10,463",0.07,"109,585",0.72,"95,143",0.33,"40,764",0.24,-----,-----,-----,-----,"65,521",0.38,"1,539,519",4.98,"4,290,356",34.97,"74,722",0.62,"164,130",1.11,"2,229,330",14.86,"172,936",1.56,"12,040,808",32.97,"2,825,798",16.69,"3,081,474",18.07,,,"1,168,405",3.78,"8,157,290",56.98,"388,371",2.58,"5,181,904",34.8,"17,191",0.16,-----,-----,-----,-----
IRCO_09F0736_0074_3102020_11.qgd,"18,284",-0.32,"206,107",0.35,-----,-----,"18,926",-0.01,"3,246,377",9.73,"47,048",0.42,-----,-----,"2,527",0.02,"7,165",0.05,"2,641",0.02,-----,-----,-----,-----,"5,021",0.03,"125,943",0.49,"120,527",1.13,"35,108",0.35,494,0,"47,670",0.55,"10,721",0.39,"11,056,321",30.28,"7,659",0.17,"14,030",0.08,,,"4,583",0.26,"352,805",2.88,-----,-----,"2,300,473",15.65,-----,-----,"2,912",0.42,-----,-----
IRCO_10F0906_0075_3102020_23.qgd,"337,840",0.6,"342,951",0.73,-----,-----,"45,842",0.06,"4,004,268",12.05,"4,913",0.1,-----,-----,-----,-----,"20,690",0.09,"1,014",0.01,-----,-----,-----,-----,261,0,"241,824",0.86,"68,508",0.71,"77,656",0.64,-----,-----,"54,435",0.6,"20,506",0.46,"9,186,679",25.18,"1,345",0.13,-----,-----,,,"3,965",0.26,"1,338,222",9.71,-----,-----,"3,140,578",21.24,"6,328",0.12,"6,438",0.46,-----,-----
IRCO_10F0907_0102_3102020_20.qgd,"507,683",1.08,"585,595",1.41,-----,-----,"78,637",0.16,"6,654,727",20.19,"12,118",0.15,-----,-----,"1,530",0.01,"32,431",0.13,"2,383",0.01,-----,-----,-----,-----,"1,932",0.01,"267,992",0.94,"99,273",0.96,"182,197",1.35,-----,-----,"86,807",0.81,"32,023",0.54,"9,993,598",27.38,"3,650",0.14,-----,-----,,,"6,199",0.27,"2,402,587",17.09,-----,-----,"4,828,907",32.46,"16,525",0.16,"17,954",0.58,-----,-----
IRCO_11F1061_0103_3102020_14.qgd,"14,066",-0.33,"332,577",0.7,-----,-----,"31,315",0.02,"4,608,377",13.91,"176,027",1.42,"2,702",0.02,"32,528",0.21,"11,945",0.07,"46,992",0.28,-----,-----,-----,-----,"59,481",0.35,"142,127",0.54,"261,134",2.27,"45,367",0.42,-----,-----,"99,360",0.89,"24,732",0.49,"10,713,420",29.35,"17,103",0.22,"35,669",0.21,,,"4,860",0.26,"581,513",4.46,-----,-----,"3,331,783",22.51,"1,280",0.1,"6,631",0.46,-----,-----
IRCO_12F1202_0093_3102020_21.qgd,"12,976",-0.34,"212,150",0.37,-----,-----,"36,396",0.04,"3,108,217",9.3,"35,402",0.33,-----,-----,"1,148",0.01,"10,645",0.06,644,0,-----,-----,-----,-----,-----,-----,"144,358",0.55,"140,288",1.29,"17,776",0.24,-----,-----,"50,966",0.57,"4,374",0.34,"10,230,842",28.03,"2,776",0.14,"1,826",0.01,,,"3,700",0.26,"515,244",4,-----,-----,"1,979,446",13.52,869,0.1,"3,391",0.42,-----,-----
MYMA_07F0472_0056_3102020_9.qgd,"15,712",-0.33,"488,575",1.14,-----,-----,"72,295",0.14,"6,112,909",18.53,"186,778",1.5,"3,484",0.02,"12,194",0.08,"32,689",0.13,"22,863",0.13,-----,-----,-----,-----,"18,622",0.11,"647,441",2.15,"112,271",1.06,"1,154,819",7.91,-----,-----,"206,179",1.59,"51,819",0.68,"11,185,660",30.64,"12,816",0.2,"21,853",0.13,,,"12,434",0.28,"435,883",3.45,"6,212",0.04,"5,222,426",35.07,"9,446",0.13,"7,347",0.47,-----,-----
PLCA_07F0527_0047_3102020_8.qgd,"441,674",0.89,"2,403,106",6.47,-----,-----,"148,931",0.36,"11,259,294",34.33,"105,461",0.87,-----,-----,"14,275",0.09,"56,629",0.21,"25,689",0.15,-----,-----,-----,-----,"39,217",0.23,"1,375,905",4.46,"61,619",0.65,"59,871",0.52,-----,-----,"49,555",0.56,"31,012",0.54,"11,163,957",30.58,"3,396",0.14,"25,085",0.15,,,"133,577",0.65,"2,597,570",18.44,"18,059",0.12,"8,665,737",57.96,"143,233",0.61,"4,934",0.44,"7,643",0.7
PLCA_08F0601_0046_3102020_26.qgd,"199,698",0.2,"1,622,633",4.3,-----,-----,"104,533",0.23,"8,379,914",25.49,"967,225",7.53,"22,585",0.15,"152,156",1,"56,048",0.21,"374,395",2.2,-----,-----,-----,-----,"364,065",2.14,"1,244,353",4.04,"60,195",0.64,"97,305",0.77,"4,365",0.03,"66,885",0.68,"27,349",0.51,"10,039,943",27.51,"47,997",0.4,"153,238",0.9,,,"82,290",0.5,"1,952,394",13.97,"29,617",0.2,"6,379,338",42.76,"91,966",0.42,"18,193",0.58,"279,306",3.61
PLCA_12F1094_0111_3102020_15.qgd,"356,459",0.65,"2,007,096",5.37,-----,-----,"95,035",0.2,"8,708,224",26.5,"105,781",0.88,-----,-----,"12,000",0.08,"35,664",0.14,"12,975",0.08,-----,-----,-----,-----,"42,972",0.25,"736,678",2.43,"88,785",0.87,"78,938",0.65,-----,-----,"70,374",0.7,"27,888",0.51,"11,764,816",32.22,"26,125",0.27,"27,164",0.16,,,"75,136",0.47,"2,284,614",16.27,"38,348",0.25,"6,017,022",40.35,"248,727",0.98,"4,008",0.43,"4,705",0.67
PLCA_14F1292_0112_3102020_19.qgd,"378,917",0.71,"1,951,215",5.21,-----,-----,"96,078",0.21,"9,269,526",28.22,"146,412",1.19,-----,-----,"11,967",0.08,"41,230",0.16,"18,444",0.11,-----,-----,-----,-----,"21,642",0.13,"521,933",1.75,"73,870",0.75,"59,130",0.51,-----,-----,"70,700",0.7,"45,415",0.64,"10,198,582",27.94,"19,784",0.24,"20,533",0.12,,,"97,443",0.54,"2,211,744",15.76,"56,050",0.37,"7,209,815",48.28,"360,303",1.38,-----,-----,-----,-----
PLCA_14F1309_0120_3102020_18.qgd,"501,495",1.07,"2,633,381",7.11,-----,-----,"160,250",0.39,"12,328,813",37.62,"114,476",0.94,-----,-----,"13,258",0.09,"57,311",0.21,"14,881",0.09,-----,-----,-----,-----,"10,339",0.06,"583,119",1.94,"59,304",0.63,"90,473",0.73,-----,-----,"89,552",0.83,"49,633",0.67,"10,070,697",27.59,"23,460",0.26,"33,856",0.2,,,"96,918",0.54,"3,136,224",22.17,"42,560",0.28,"9,467,899",63.29,"440,551",1.66,"8,065",0.47,-----,-----
PLCA_15F1483_0121_3102020_16.qgd,"409,334",0.8,"2,452,845",6.61,-----,-----,"153,404",0.37,"10,801,220",32.93,"142,511",1.16,-----,-----,"18,380",0.12,"50,462",0.19,"34,257",0.2,-----,-----,-----,-----,"35,792",0.21,"757,851",2.5,"194,015",1.73,"72,890",0.61,-----,-----,"160,683",1.29,"47,531",0.65,"10,819,728",29.64,"54,319",0.44,"150,610",0.88,,,"202,426",0.86,"2,559,191",18.17,"36,837",0.24,"8,370,124",55.99,"283,474",1.1,"1,094",0.4,"49,953",1.15
Average,"181,830",0.52,"2,334,669",6.28,"17,709",0.15,"99,020",0.22,"8,046,192",24.47,"279,352",2.22,"19,436",0.13,"115,475",0.76,"46,373",0.17,"156,959",0.92,-----,-----,-----,-----,"169,032",0.99,"836,510",2.75,"1,106,873",9.13,"124,997",0.96,"59,445",0.4,"705,558",4.87,"76,043",0.86,"10,749,949",29.45,"947,308",5.68,"1,483,369",8.7,,,"312,364",1.19,"3,249,335",22.96,"203,657",1.35,"5,836,801",39.15,"99,028",0.45,"6,404",0.46,"54,932",1.21
%RSD,110.26785,53.331993,78.917037,81.725597,30.499702,24.19218,48.869258,63.056773,36.218632,36.579237,117.664423,114.54816,131.406067,131.513665,169.614026,169.514859,57.499901,48.708091,281.492682,281.291032,-----,-----,-----,-----,219.173326,219.270373,82.9564,80.163898,141.359599,139.014424,207.712792,182.781154,90.16924,90.018348,135.372032,128.732256,93.420994,59.507003,7.196041,7.172702,144.525213,141.435108,132.529945,132.52826,,,136.003639,107.779071,77.987314,76.524805,100.59069,100.759929,39.55641,39.18902,145.004503,113.349264,88.95304,13.495554,179.319276,87.37279
Maximum,"507,683",1.08,"6,351,463",17.47,"28,207",0.21,"191,631",0.48,"12,328,813",37.62,"1,154,595",8.97,"87,707",0.58,"818,241",5.37,"108,610",0.37,"1,918,987",11.25,-----,-----,-----,-----,"1,551,827",9.1,"2,900,820",9.3,"4,513,071",36.78,"1,154,819",7.91,"164,130",1.11,"2,942,232",19.53,"232,391",1.98,"12,040,808",32.97,"3,300,749",19.48,"4,798,504",28.14,,,"1,403,136",4.48,"8,157,290",56.98,"609,042",4.05,"9,490,767",63.44,"440,551",1.66,"18,193",0.58,"279,306",3.61
Minimum,"7,736",0.2,"206,107",0.35,"11,055",0.1,"18,668",0.01,"3,108,217",9.3,"4,913",0.1,"2,543",0.02,"1,015",0.01,"6,899",0.05,644,0,-----,-----,-----,-----,261,0,"125,943",0.49,"59,304",0.63,"17,776",0.24,494,0,"47,670",0.55,"4,374",0.34,"9,186,679",25.18,"1,345",0.13,"1,826",0.01,,,"3,700",0.26,"352,805",2.88,"6,212",0.04,"1,979,446",13.52,869,0.1,618,0.39,512,0.62
Std. Dev.,"200,499.85",0.276734,"1,842,451.56",5.132822,"5,401.17",0.03528,"48,390.22",0.136448,"2,914,220.81",8.94972,"328,697.98",2.537878,"25,539.43",0.168776,"195,862.20",1.285321,"26,664.57",0.085239,"441,827.32",2.590222,-----,-----,-----,-----,"370,472.15",2.172711,"693,938.88",2.202948,"1,564,671.71",12.698968,"259,635.22",1.752668,"53,601.44",0.362324,"955,128.80",6.262824,"71,040.33",0.511099,"773,570.71",2.112201,"1,369,099.39",8.0288,"1,965,908.29",11.52913,,,"424,826.18",1.282571,"2,534,069.42",17.567969,"204,860.37",1.362584,"2,308,829.13",15.344461,"143,595.14",0.509405,"5,696.42",0.061457,"98,503.83",1.054828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 4,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
DEME_05F0329_0039_3112020_7.qgd,"19,515",-0.08,"7,416,986",21.2,"14,905",0.16,"115,952",0.44,"7,982,231",25.03,"710,955",5.76,"37,243",0.24,"256,173",1.68,"152,670",0.62,"17,604",0.1,-----,-----,-----,-----,"7,367",0.04,"5,807,039",18.71,"6,799,011",55.44,"47,524",0.48,"77,179",0.52,"3,360,569",22.31,"407,790",3.19,"9,606,485",26.41,"2,550,113",15.09,"3,342,590",19.6,,,"1,589,308",5.13,"9,180,620",64.1,"389,805",2.59,"5,428,746",36.45,"11,831",0.12,-----,-----,-----,-----
DEME_07F0564_0040_3112020_27.qgd,"13,087",-0.1,"3,261,134",9.32,"7,103",0.1,"77,305",0.33,"5,897,802",18.5,"269,243",2.23,"5,274",0.03,"143,662",0.94,"52,573",0.3,"4,518",0.03,-----,-----,-----,-----,"6,247",0.04,"1,395,845",4.7,"2,577,270",21.18,"26,744",0.34,"41,556",0.28,"1,958,937",13.12,"93,008",0.93,"10,717,212",29.44,"1,957,988",11.61,"2,328,378",13.66,,,"900,183",3.05,"3,601,370",25.42,"242,115",1.61,"4,036,913",27.2,"12,144",0.12,-----,-----,-----,-----
DEME_07F0565_0063_3112020_24.qgd,"6,931",-0.12,"2,295,653",6.56,"4,551",0.09,"58,943",0.27,"5,769,352",18.1,"90,894",0.8,"2,639",0.02,"50,654",0.33,"33,519",0.24,"3,368",0.02,-----,-----,-----,-----,"3,778",0.02,"529,393",1.95,"1,630,774",13.5,"16,534",0.27,"33,917",0.23,"1,062,147",7.24,"88,243",0.9,"9,514,445",26.16,"1,576,836",9.38,"2,275,813",13.35,,,"370,314",1.45,"2,465,240",17.54,"225,133",1.5,"3,096,907",20.96,"8,212",0.11,-----,-----,-----,-----
DEME_08F0678_0057_3112020_9.qgd,"10,227",-0.11,"3,575,550",10.22,"4,535",0.09,"78,151",0.33,"6,837,606",21.44,"218,252",1.82,"8,798",0.06,"96,571",0.63,"55,077",0.31,"17,555",0.1,-----,-----,-----,-----,"34,591",0.2,"1,115,457",3.81,"2,548,105",20.94,"48,871",0.49,"62,475",0.42,"1,599,619",10.76,"140,495",1.27,"9,871,772",27.14,"1,847,700",10.97,"2,473,892",14.51,,,"580,692",2.08,"4,236,322",29.82,"223,395",1.48,"3,435,532",23.21,"8,808",0.11,-----,-----,-----,-----
DEME_08F0680_0064_3112020_10.qgd,"14,558",-0.09,"3,250,111",9.29,"8,074",0.11,"76,785",0.32,"6,128,393",19.22,"173,656",1.46,"7,777",0.05,"96,612",0.63,"45,150",0.27,"34,549",0.2,-----,-----,-----,-----,"49,977",0.29,"783,734",2.76,"2,043,684",16.85,"27,743",0.35,"48,772",0.33,"1,353,203",9.15,"162,399",1.43,"9,517,398",26.17,"2,201,008",13.04,"3,477,416",20.4,,,"494,374",1.82,"4,700,929",33.04,"309,555",2.06,"3,959,642",26.69,"8,751",0.11,-----,-----,-----,-----
DEME_09F0722_0058_3112020_25.qgd,"8,634",-0.11,"3,349,807",9.57,"11,145",0.13,"92,278",0.37,"8,463,062",26.53,"1,405,729",11.32,"30,316",0.2,"253,040",1.66,"44,863",0.27,"328,545",1.93,-----,-----,-----,-----,"614,214",3.6,"757,472",2.68,"1,922,168",15.86,"69,570",0.63,"59,825",0.4,"1,330,914",9,"126,021",1.17,"11,035,287",30.31,"2,042,143",12.11,"2,601,860",15.26,,,"526,380",1.92,"5,095,682",35.78,"294,353",1.96,"5,028,300",33.79,"15,089",0.13,-----,-----,"47,597",1.14
DEME_11F0995_0081_3112020_22.qgd,"27,448",-0.06,"8,762,917",25.05,"31,162",0.27,"149,494",0.53,"9,958,615",31.21,"619,504",5.03,"27,493",0.18,"237,516",1.56,"163,977",0.65,"17,707",0.1,-----,-----,-----,-----,"16,949",0.1,"5,422,118",17.49,"6,924,204",56.46,"62,383",0.58,"99,507",0.67,"3,988,678",26.43,"324,830",2.6,"10,396,070",28.57,"3,148,118",18.59,"3,622,275",21.24,,,"2,224,320",7.05,"9,279,805",64.78,"474,876",3.16,"6,270,508",42.05,"23,045",0.16,-----,-----,-----,-----
DEME_12F1161_0082_3112020_12.qgd,"21,465",-0.07,"4,685,107",13.39,"14,417",0.15,"110,949",0.42,"8,109,866",25.43,"382,946",3.14,"12,795",0.08,"145,350",0.95,"90,927",0.42,"19,709",0.12,-----,-----,-----,-----,"34,690",0.2,"2,147,012",7.09,"4,044,923",33.09,"56,580",0.54,"54,588",0.37,"2,306,130",15.39,"190,130",1.63,"10,798,048",29.66,"2,035,722",12.07,"2,181,688",12.8,,,"1,457,600",4.73,"6,049,727",42.39,"241,960",1.61,"4,644,471",31.24,"15,644",0.14,"1,227",0.44,-----,-----
IRCO_08F0692_0100_3112020_20.qgd,"22,080",-0.07,"224,984",0.64,-----,-----,"23,397",0.17,"2,792,404",8.78,"36,752",0.37,-----,-----,"1,094",0.01,"5,847",0.15,897,0.01,-----,-----,-----,-----,864,0.01,"184,614",0.86,"93,503",1.02,"28,408",0.35,-----,-----,"50,867",0.61,"7,275",0.31,"9,948,269",27.34,"4,628",0.16,"2,136",0.01,,,"6,268",0.35,"514,502",4.01,-----,-----,"1,995,580",13.64,-----,-----,"2,808",0.46,-----,-----
IRCO_09F0739_0101_3112020_14.qgd,"16,585",-0.09,"186,179",0.53,-----,-----,"29,620",0.19,"2,937,900",9.24,"41,231",0.4,-----,-----,"2,053",0.01,"6,977",0.15,602,0,-----,-----,-----,-----,748,0,"194,494",0.89,"94,377",1.03,"30,852",0.37,-----,-----,"46,366",0.58,"8,159",0.32,"9,103,363",25.04,"7,216",0.17,"2,180",0.01,,,"4,265",0.34,"214,164",1.93,-----,-----,"2,068,609",14.12,-----,-----,"3,188",0.47,-----,-----
IRCO_11F1030_0076_3112020_11.qgd,"335,904",0.86,"277,462",0.79,-----,-----,"40,868",0.22,"3,202,477",10.07,"16,199",0.2,-----,-----,"1,663",0.01,"15,328",0.18,"2,024",0.01,-----,-----,-----,-----,"5,798",0.03,"193,657",0.89,"46,691",0.64,"63,464",0.59,-----,-----,"35,634",0.51,"13,158",0.36,"9,301,371",25.58,999,0.14,"1,211",0.01,,,"3,737",0.34,"990,335",7.31,-----,-----,"2,023,804",13.82,-----,-----,"5,178",0.49,-----,-----
IRCO_13F1251_0094_3112020_13.qgd,"13,979",-0.1,"213,209",0.61,-----,-----,"32,181",0.19,"3,345,938",10.52,"66,586",0.6,-----,-----,"2,189",0.01,"9,858",0.16,"1,718",0.01,-----,-----,-----,-----,"1,004",0.01,"151,697",0.75,"174,841",1.68,"29,864",0.36,-----,-----,"101,017",0.93,"13,541",0.36,"9,503,894",26.13,"9,704",0.19,"3,364",0.02,,,"3,851",0.34,"449,057",3.56,-----,-----,"2,616,591",17.76,-----,-----,"2,257",0.46,-----,-----
IRCO_14F1320_0095_3112020_21.qgd,"7,250",-0.12,"117,010",0.33,-----,-----,"12,411",0.14,"1,861,806",5.87,"18,946",0.22,-----,-----,541,0,"6,330",0.15,"1,188",0.01,-----,-----,-----,-----,931,0.01,"123,774",0.67,"75,922",0.88,"9,173",0.22,-----,-----,"26,453",0.45,"4,057",0.29,"9,590,242",26.37,"2,919",0.15,"3,795",0.02,,,"3,896",0.34,"202,457",1.85,-----,-----,"1,063,469",7.44,-----,-----,"1,201",0.44,-----,-----
PLCA_07F0515_0045_3112020_8.qgd,"340,145",0.87,"2,097,984",6,-----,-----,"159,508",0.56,"9,446,872",29.61,"214,064",1.78,"18,107",0.12,"41,616",0.27,"50,086",0.29,"47,106",0.28,-----,-----,-----,-----,"140,135",0.82,"879,359",3.06,"108,313",1.14,"49,754",0.5,-----,-----,"147,300",1.24,"69,877",0.76,"10,574,541",29.05,"67,182",0.52,"204,656",1.2,,,"111,393",0.67,"2,264,572",16.15,"21,656",0.14,"7,922,215",53.02,"77,211",0.36,-----,-----,"67,891",1.35
PLCA_07F0528_0114_3112020_19.qgd,"420,634",1.11,"2,449,506",7,-----,-----,"160,906",0.57,"10,450,867",32.75,"137,552",1.17,"21,280",0.14,"25,291",0.17,"52,698",0.3,"27,458",0.16,-----,-----,-----,-----,"37,266",0.22,"703,270",2.51,"95,284",1.04,"56,534",0.54,-----,-----,"65,365",0.7,"51,441",0.63,"9,850,595",27.08,-----,-----,"34,667",0.2,,,"134,031",0.73,"2,819,423",19.99,"40,732",0.27,"8,796,589",58.84,"144,006",0.59,"18,207",0.63,"11,157",0.75
PLCA_09F0718_0077_3112020_23.qgd,"335,809",0.86,"2,401,130",6.86,-----,-----,"103,498",0.4,"10,363,915",32.48,"1,900,135",15.27,"30,933",0.2,"224,913",1.47,"37,018",0.25,"423,857",2.49,-----,-----,-----,-----,"505,530",2.96,"457,892",1.73,"149,659",1.48,"82,628",0.72,-----,-----,"163,549",1.34,"60,082",0.69,"10,213,185",28.07,"111,982",0.79,"308,861",1.81,,,"88,114",0.6,"2,386,225",16.99,"40,322",0.27,"7,631,620",51.09,"128,047",0.54,"4,263",0.48,"115,481",1.86
PLCA_11F0973_0118_3112020_18.qgd,"384,352",1,"2,168,459",6.2,-----,-----,"110,308",0.42,"9,396,829",29.45,"111,640",0.96,-----,-----,"15,110",0.1,"43,548",0.27,"19,051",0.11,-----,-----,-----,-----,"21,930",0.13,"510,263",1.89,"61,434",0.76,"70,614",0.64,-----,-----,"45,399",0.57,"28,042",0.46,"10,543,343",28.97,"14,402",0.21,"11,993",0.07,,,"109,441",0.66,"2,296,922",16.37,"31,547",0.21,"6,979,945",46.76,"297,320",1.14,"15,818",0.6,313,0.63
PLCA_12F1112_0119_3112020_16.qgd,"365,517",0.95,"2,169,294",6.2,-----,-----,"115,391",0.44,"8,652,658",27.12,"137,859",1.17,-----,-----,"15,485",0.1,"39,126",0.26,"25,960",0.15,-----,-----,-----,-----,"49,917",0.29,"510,412",1.89,"61,792",0.76,"53,460",0.52,-----,-----,"98,265",0.92,"34,399",0.51,"9,513,572",26.16,"23,292",0.27,"63,426",0.37,,,"105,009",0.65,"2,629,105",18.68,"27,415",0.18,"6,131,524",41.12,"201,403",0.8,"4,429",0.48,"5,583",0.69
PLCA_15F1415_0113_3112020_15.qgd,"176,819",0.39,"1,232,247",3.52,-----,-----,"87,683",0.36,"5,614,014",17.61,"48,031",0.46,"6,672",0.04,"8,046",0.05,"28,384",0.22,"5,442",0.03,-----,-----,-----,-----,"17,788",0.1,"374,502",1.46,"37,750",0.57,"23,796",0.32,-----,-----,"31,261",0.48,"16,489",0.38,"9,368,497",25.76,"3,772",0.15,"15,063",0.09,,,"57,554",0.5,"1,539,419",11.12,"10,001",0.07,"4,271,224",28.76,"287,375",1.1,"2,532",0.46,"14,924",0.79
Average,"133,734",0.38,"2,638,670",7.54,"11,987",0.14,"86,086",0.35,"6,695,400",21,"347,378",2.85,"17,444",0.11,"85,136",0.56,"49,156",0.29,"52,571",0.31,-----,-----,-----,-----,"81,564",0.48,"1,170,632",3.99,"1,552,090",12.86,"44,973",0.46,"59,727",0.4,"935,351",6.41,"96,812",0.96,"9,945,663",27.34,"978,096",5.87,"1,208,172",7.09,,,"461,617",1.72,"3,206,099",22.68,"171,561",1.14,"4,600,115",30.95,"88,492",0.39,"5,140",0.49,"32,940",0.98
%RSD,123.904889,107.128631,88.990812,89.01682,72.784844,43.419374,52.50186,37.176002,42.072456,41.983533,145.4453,141.805787,67.585468,67.966,112.407241,112.744655,89.541622,48.853669,220.41117,220.743249,-----,-----,-----,-----,211.57799,211.811376,140.424833,130.850249,142.891843,139.974626,45.630609,30.040333,34.875832,34.72552,131.200322,125.598237,114.758591,83.448322,5.805562,5.761597,116.583349,113.983412,118.741511,118.751861,,,139.086771,112.517917,84.341859,82.681164,91.073532,91.147933,48.671275,48.08384,119.971555,95.805824,111.619769,12.739136,125.217378,44.894646
Maximum,"420,634",1.11,"8,762,917",25.05,"31,162",0.27,"160,906",0.57,"10,450,867",32.75,"1,900,135",15.27,"37,243",0.24,"256,173",1.68,"163,977",0.65,"423,857",2.49,-----,-----,-----,-----,"614,214",3.6,"5,807,039",18.71,"6,924,204",56.46,"82,628",0.72,"99,507",0.67,"3,988,678",26.43,"407,790",3.19,"11,035,287",30.31,"3,148,118",18.59,"3,622,275",21.24,,,"2,224,320",7.05,"9,279,805",64.78,"474,876",3.16,"8,796,589",58.84,"297,320",1.14,"18,207",0.63,"115,481",1.86
Minimum,"6,931",0.06,"117,010",0.33,"4,535",0.09,"12,411",0.14,"1,861,806",5.87,"16,199",0.2,"2,639",0.02,541,0,"5,847",0.15,602,0,-----,-----,-----,-----,748,0,"123,774",0.67,"37,750",0.57,"9,173",0.22,"33,917",0.23,"26,453",0.45,"4,057",0.29,"9,103,363",25.04,999,0.14,"1,211",0.01,,,"3,737",0.34,"202,457",1.85,548,0,"1,063,469",7.44,"8,212",0.11,573,0.44,313,0.63
Std. Dev.,"165,702.51",0.403706,"2,348,173.82",6.712805,"8,724.36",0.059702,"45,196.59",0.130507,"2,816,919.36",8.815658,"505,244.36",4.042211,"11,789.55",0.077028,"95,698.73",0.62781,"44,014.70",0.14039,"115,873.40",0.680819,-----,-----,-----,-----,"172,572.36",1.011121,"1,643,857.73",5.219548,"2,217,809.63",17.999264,"20,521.67",0.139292,"20,830.42",0.13977,"1,227,183.80",8.046881,"111,100.57",0.798908,"577,401.59",1.575069,"1,140,296.82",6.68766,"1,434,601.44",8.414507,,,"642,048.69",1.939454,"2,704,083.28",18.748172,"156,246.54",1.039694,"2,238,934.72",14.879671,"106,165.06",0.378433,"5,737.35",0.062103,"41,246.60",0.439968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,,,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
batch 5,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,,,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
